Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6610","Agricultural land","1000 ha","37940.76","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1000 ha","1154.72","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","4","Algeria","5110","Area","6610","Agricultural land","1000 ha","41568.52","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5","American Samoa","5110","Area","6610","Agricultural land","1000 ha","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1000 ha","22.78","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","7","Angola","5110","Area","6610","Agricultural land","1000 ha","53910.12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","8","Antigua and Barbuda","5110","Area","6610","Agricultural land","1000 ha","8.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1000 ha","127222.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","1","Armenia","5110","Area","6610","Agricultural land","1000 ha","1519.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","22","Aruba","5110","Area","6610","Agricultural land","1000 ha","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1000 ha","452445.32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1000 ha","3043.4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","52","Azerbaijan","5110","Area","6610","Agricultural land","1000 ha","4700.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","12","Bahamas","5110","Area","6610","Agricultural land","1000 ha","11.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
