Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1961","1961","1000 ha","4469406.7845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1962","1962","1000 ha","4479209.0715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1963","1963","1000 ha","4489181.2482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1964","1964","1000 ha","4497984.4896","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1965","1965","1000 ha","4513361.351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1966","1966","1000 ha","4518376.1357","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1967","1967","1000 ha","4532046.5039","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1968","1968","1000 ha","4566119.8011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1969","1969","1000 ha","4580052.7789","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1970","1970","1000 ha","4566585.1685","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1971","1971","1000 ha","4581373.2967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1972","1972","1000 ha","4591874.82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1973","1973","1000 ha","4608925.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1974","1974","1000 ha","4618956.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1975","1975","1000 ha","4625015.83","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1976","1976","1000 ha","4627204.6333","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1977","1977","1000 ha","4628968.2967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1978","1978","1000 ha","4643779","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1979","1979","1000 ha","4650474.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1980","1980","1000 ha","4665972.438","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1981","1981","1000 ha","4668121.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1982","1982","1000 ha","4685873.92","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1983","1983","1000 ha","4694670.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1984","1984","1000 ha","4724844.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1985","1985","1000 ha","4756383.247","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1986","1986","1000 ha","4760989.882","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1987","1987","1000 ha","4776655.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1988","1988","1000 ha","4793854.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1989","1989","1000 ha","4805857.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1990","1990","1000 ha","4798043.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1991","1991","1000 ha","4789927.8874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1992","1992","1000 ha","4828952.996","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1993","1993","1000 ha","4812993.434","A","Aggregate, may include official, semi-official, estimated or calculated data"
