# &quot;Indiana December Average Temperature&quot;
# Units: Degrees Fahrenheit
Date,Value
195012,22.9
195112,29.5
195212,33.6
195312,32
195412,31.3
195512,27.7
195612,36.9
195712,35.5
195812,22.8
195912,35.4
196012,25
196112,28.8
196212,25.5
196312,19.3
196412,30.4
196512,36.7
196612,31.1
196712,33
196812,29.5
196912,28.2
197012,33.4
197112,37.9
197212,30.3
197312,29.8
197412,32.2
197512,32.6
197612,24.4
197712,26.8
197812,31.8
197912,33.9
198012,31.1
198112,27.6
198212,39.8
198312,20.5
198412,37.8
198512,23
198612,31.9
198712,34.9
198812,30.7
198912,18.2
199012,33.5
199112,34.4
199212,32
199312,31.3
199412,37
199512,27.3
199612,33
199712,33
199812,36.4
199912,33
200012,19.2
200112,36.9
200212,31.7
200312,33.5
200412,30.8
200512,26.7
200612,37.3
200712,32.5
200812,29.1
200912,30.4
201012,24.3
201112,36.6
201212,38.2
201312,29.4
201412,34.6
201512,42.5
201612,29.8
201712,29.6
201812,35.4
201912,36.2
202012,33.6
202112,40.5
