# &quot;Indiana November-December Average Temperature&quot;
# Units: Degrees Fahrenheit
Date,Value
195012,29.2
195112,31.7
195212,38
195312,37.2
195412,36.2
195512,32.7
195612,38.8
195712,38.1
195812,33
195912,35.7
196012,33.7
196112,35
196212,33.1
196312,31.8
196412,37.4
196512,40
196612,36.8
196712,35.1
196812,35.9
196912,33
197012,36.9
197112,39.9
197212,34.5
197312,37
197412,37.2
197512,39.5
197612,29.1
197712,35
197812,37.9
197912,37.6
198012,35.6
198112,35.2
198212,41.6
198312,32.4
198412,39.2
198512,34.4
198612,35.5
198712,40.4
198812,36.7
198912,29.5
199012,40.1
199112,36.6
199212,37.1
199312,36.2
199412,42
199512,31.8
199612,34.4
199712,35.8
199812,40.7
199912,40.4
200012,29.8
200112,43
200212,35.8
200312,39.8
200412,38.4
200512,35.7
200612,40.7
200712,37.2
200812,34.8
200912,38.4
201012,33.6
201112,41.8
201212,39.1
201312,34.3
201412,35.1
201512,44.6
201612,38.4
201712,36
201812,36.1
201912,36.4
202012,40.2
202112,40.3
