,Year,State,State ANSI,Data Item,Value
0,2021,ALABAMA,1.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3550.0
1,2021,ARIZONA,4.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7700.0
2,2021,ARKANSAS,5.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2930.0
3,2021,CALIFORNIA,6.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",13860.0
4,2021,COLORADO,8.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2240.0
5,2021,DELAWARE,10.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",8600.0
6,2021,FLORIDA,12.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7300.0
7,2021,GEORGIA,13.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3480.0
8,2021,IDAHO,16.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4450.0
9,2021,ILLINOIS,17.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7900.0
10,2021,INDIANA,18.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",6800.0
11,2021,IOWA,19.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7810.0
12,2021,KANSAS,20.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2370.0
13,2021,KENTUCKY,21.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4510.0
14,2021,LOUISIANA,22.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2980.0
15,2021,MARYLAND,24.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7960.0
16,2021,MICHIGAN,26.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4700.0
17,2021,MINNESOTA,27.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",5270.0
18,2021,MISSISSIPPI,28.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3150.0
19,2021,MISSOURI,29.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3810.0
20,2021,MONTANA,30.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1050.0
21,2021,NEBRASKA,31.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4960.0
22,2021,NEW JERSEY,34.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",14800.0
23,2021,NEW MEXICO,35.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1660.0
24,2021,NEW YORK,36.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2910.0
25,2021,NORTH CAROLINA,37.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4290.0
26,2021,NORTH DAKOTA,38.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2060.0
27,2021,OHIO,39.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",6800.0
28,2021,OKLAHOMA,40.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1810.0
29,2021,OREGON,41.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3310.0
30,2021,OTHER STATES,,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",8770.0
31,2021,PENNSYLVANIA,42.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7600.0
32,2021,SOUTH CAROLINA,45.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2900.0
33,2021,SOUTH DAKOTA,46.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3390.0
34,2021,TENNESSEE,47.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4130.0
35,2021,TEXAS,48.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2150.0
36,2021,UTAH,49.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4190.0
37,2021,VIRGINIA,51.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4790.0
38,2021,WASHINGTON,53.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2700.0
39,2021,WEST VIRGINIA,54.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3330.0
40,2021,WISCONSIN,55.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",5280.0
41,2021,WYOMING,56.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1600.0
42,2020,ALABAMA,1.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3500.0
43,2020,ARIZONA,4.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7650.0
44,2020,ARKANSAS,5.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2880.0
45,2020,CALIFORNIA,6.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",12900.0
46,2020,COLORADO,8.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2200.0
47,2020,DELAWARE,10.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",8600.0
48,2020,FLORIDA,12.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7190.0
49,2020,GEORGIA,13.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3320.0
50,2020,IDAHO,16.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4070.0
51,2020,ILLINOIS,17.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7300.0
52,2020,INDIANA,18.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",6210.0
53,2020,IOWA,19.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7170.0
54,2020,KANSAS,20.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2080.0
55,2020,KENTUCKY,21.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4400.0
56,2020,LOUISIANA,22.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2930.0
57,2020,MARYLAND,24.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7380.0
58,2020,MICHIGAN,26.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4480.0
59,2020,MINNESOTA,27.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4800.0
60,2020,MISSISSIPPI,28.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3100.0
61,2020,MISSOURI,29.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3530.0
62,2020,MONTANA,30.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1030.0
63,2020,NEBRASKA,31.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4360.0
64,2020,NEW JERSEY,34.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",13800.0
65,2020,NEW MEXICO,35.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1600.0
66,2020,NEW YORK,36.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2800.0
67,2020,NORTH CAROLINA,37.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4180.0
68,2020,NORTH DAKOTA,38.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1930.0
69,2020,OHIO,39.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",6460.0
70,2020,OKLAHOMA,40.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1690.0
71,2020,OREGON,41.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3120.0
72,2020,OTHER STATES,,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7900.0
73,2020,PENNSYLVANIA,42.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7100.0
74,2020,SOUTH CAROLINA,45.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2830.0
75,2020,SOUTH DAKOTA,46.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3030.0
76,2020,TENNESSEE,47.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3990.0
77,2020,TEXAS,48.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2030.0
78,2020,UTAH,49.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4040.0
79,2020,VIRGINIA,51.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4680.0
80,2020,WASHINGTON,53.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2610.0
81,2020,WEST VIRGINIA,54.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3270.0
82,2020,WISCONSIN,55.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",4770.0
83,2020,WYOMING,56.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",1540.0
84,2019,ALABAMA,1.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3430.0
85,2019,ARIZONA,4.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7600.0
86,2019,ARKANSAS,5.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2850.0
87,2019,CALIFORNIA,6.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",12830.0
88,2019,COLORADO,8.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",2160.0
89,2019,DELAWARE,10.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",8600.0
90,2019,FLORIDA,12.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7190.0
91,2019,GEORGIA,13.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3210.0
92,2019,IDAHO,16.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",3930.0
93,2019,ILLINOIS,17.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",7300.0
94,2019,INDIANA,18.0,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",6210.0
