Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
"5000","World","6600","Country area","5110","Area","1000 ha","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444653.347700","13444653.347700","13444857.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444865.347700","13444731.347700","13444732.347700","13444732.347700","13444799.347700","13444801.347700","13434291.947700","13434301.947700","13433609.647700","13433611.647700","13433619.647700","13440493.647700","13437767.647700","13437767.647700","13437466.047700","13437505.067700","13437548.567700","13437595.117700","13441016.004800","13441211.726200","13441245.227400","13441257.711000","13461206.545100","13460973.724900","13461001.575900","13461029.449600","13460598.589600","13496302.905100","13496111.841300","13496860.146000","13496981.344900","13497316.097700","13497276.184800","13497298.756500"
"5000","World","6601","Land area","5110","Area","1000 ha","13040572.390900","13040570.390900","13040571.390900","13040571.390900","13040570.390900","13040569.390900","13040568.390900","13040567.390900","13040567.390900","13040566.390900","13040565.390900","13040554.390900","13040545.390900","13040497.390900","13040444.390900","13040421.390900","13040407.390900","13040405.390900","13040400.390900","13040380.390900","13040387.390900","13040367.390900","13040359.390900","13040206.490900","13040194.490900","13040203.490900","13040192.490900","13040190.490900","13040091.490900","13040090.490900","13040100.490900","12995803.690900","12995429.090900","12994224.390900","12993928.390900","12993882.890900","13000816.890900","12998213.690900","12998892.490900","13004794.736900","13004676.756900","13004458.079500","13005171.738500","13019834.402500","13020108.642600","13019890.483900","13019872.052600","13018284.334300","13018127.286200","13018365.523800","13018414.672100","13028961.097500","13028787.965600","13028722.955100","13029083.226100","13030051.867200","13030030.669400","13030099.703800","13030087.276500"
"5000","World","6602","Agriculture","5110","Area","1000 ha","4469406.784500","4479209.071500","4489181.248200","4497984.489600","4513361.351000","4518376.135700","4532046.503900","4566119.801100","4580052.778900","4566585.168500","4581373.296700","4591874.820000","4608925.580000","4618956.460000","4625015.830000","4627204.633300","4628968.296700","4643779.000000","4650474.600000","4665972.438000","4668121.580000","4685873.920000","4694670.470000","4724844.070000","4756383.247000","4760989.882000","4776655.150000","4793854.490000","4805857.630000","4798043.810000","4789927.887400","4828952.996000","4812993.434000","4833752.068000","4833862.960000","4841499.732000","4861725.424000","4875189.116000","4878210.583000","4879532.240000","4881945.245200","4872924.560900","4857648.637600","4862560.460800","4858608.497200","4846323.413700","4839908.100100","4829043.656600","4821196.169200","4818056.455000","4828522.742000","4790964.280600","4792144.723800","4799237.036300","4759845.681500","4766717.775400","4794419.724600","4775201.292500","4778840.661200"
"5000","World","6610","Agricultural land","5110","Area","1000 ha","4469406.784500","4479209.071500","4489181.248200","4497984.489600","4513361.351000","4518376.135700","4532046.503900","4566119.801100","4580052.778900","4566585.168500","4581373.296700","4591874.820000","4608925.580000","4618956.460000","4625015.830000","4627204.633300","4628968.296700","4643779.000000","4650474.600000","4665972.438000","4668121.580000","4685873.920000","4694670.470000","4724844.070000","4756383.247000","4760989.882000","4776655.150000","4793854.490000","4805857.630000","4798043.810000","4789927.887400","4828952.996000","4812993.434000","4833752.068000","4833862.960000","4841499.732000","4861725.424000","4875189.116000","4878210.583000","4879532.240000","4881945.245200","4872924.560900","4857648.637600","4817356.460800","4823689.497200","4820700.413700","4812814.600100","4801043.656600","4796424.169200","4795848.455000","4814971.142000","4772566.280600","4763129.844300","4761795.436200","4736496.959600","4732764.163000","4767232.499500","4750459.259700","4752110.710600"
"5000","World","6620","Cropland","5110","Area","1000 ha","1351225.643200","1354683.516000","1362203.732600","1364600.959900","1370280.334300","1367334.709000","1371165.907200","1383093.546700","1398605.476000","1394463.022600","1390564.940000","1390648.930000","1397658.790000","1395883.970000","1395172.340000","1401859.753300","1402371.606700","1411382.610000","1416060.710000","1421115.448000","1421204.090000","1432902.930000","1438800.280000","1457707.780000","1473867.357000","1481208.492000","1484144.960000","1483573.300000","1484217.740000","1486009.580000","1489498.547000","1485901.940000","1486230.500000","1485169.250000","1485598.750000","1485985.570000","1490852.850000","1491422.380000","1495521.050000","1492847.860000","1493032.325200","1491222.198900","1500001.805600","1506679.612800","1511389.202200","1508261.891700","1509851.411100","1511861.660600","1515471.496200","1518920.025000","1529942.500000","1543514.264800","1546792.141700","1547908.566600","1549211.951800","1551244.033100","1559083.817500","1557248.456100","1556059.240400"
"5000","World","6621","Arable land","5110","Area","1000 ha","1273083.536300","1274808.343300","1282124.136400","1283421.644900","1288553.605200","1285079.984600","1288405.187500","1299273.112900","1313861.014000","1308356.760600","1303447.040000","1302758.630000","1308386.390000","1305520.470000","1303771.940000","1309014.353300","1308149.106700","1315945.310000","1319279.810000","1322749.048000","1322025.090000","1333080.830000","1337574.680000","1356016.780000","1370038.257000","1374740.800000","1374480.710000","1371623.300000","1371007.390000","1370437.780000","1372923.779900","1367912.740000","1365816.100000","1361876.240000","1361138.940000","1360204.460000","1363559.330000","1362620.960000","1363855.530000","1359278.910000","1357122.754400","1354006.048900","1360377.035600","1364368.027800","1366252.992300","1360575.626900","1358877.161400","1359399.055900","1360604.636600","1361100.510400","1369817.165500","1378819.157900","1380990.273000","1381903.772500","1381954.293500","1382841.354900","1387719.175700","1385415.185800","1383346.290100"
"5000","World","6650","Land under permanent crops","5110","Area","1000 ha","78142.106900","79875.172700","80079.596200","81179.315000","81726.729100","82254.724400","82760.719700","83820.433800","84744.462000","86106.262000","87117.900000","87890.300000","89272.400000","90363.500000","91400.400000","92845.400000","94222.500000","95437.300000","96780.900000","98366.400000","99178.352500","99822.100000","101225.600000","101691.000000","103829.100000","106467.692000","109664.250000","111950.000000","113210.350000","115571.800000","116574.767000","117989.200000","120414.400000","123293.010000","124459.810000","125780.892700","127293.520000","128801.420000","131665.520000","133568.950000","135909.410000","137216.150000","139624.770000","142311.584900","145136.209900","147686.916100","150974.249800","152462.604700","154866.859600","157819.514600","160125.297400","161970.394400","163112.443700","163350.656700","164638.808300","165819.125600","168814.171600","169319.732900","170235.839400"
"5000","World","6655","Land under perm. meadows and pastures","5110","Area","1000 ha","3118181.141300","3124525.555500","3126977.515600","3133383.529700","3143081.016700","3151041.426700","3160880.596700","3183026.254400","3181447.302900","3172122.145900","3190808.356700","3201225.890000","3211266.790000","3223072.490000","3229843.490000","3225344.880000","3226596.690000","3232396.390000","3234413.890000","3244856.990000","3246917.490000","3252970.990000","3255870.190000","3267136.290000","3282515.890000","3279781.390000","3292510.190000","3310281.190000","3321639.890000","3312034.230000","3300429.821000","3343051.056000","3326762.934000","3348582.818000","3348264.210000","3355514.162000","3370872.574000","3383766.736000","3382689.533000","3386684.380000","3388912.620000","3381702.192000","3357646.672000","3310676.618000","3312300.095000","3312438.192000","3302962.969000","3289181.716000","3280952.403000","3276928.190000","3285013.552000","3229051.715800","3216337.702500","3213868.246200","3187282.023700","3181518.598900","3208128.831300","3193180.826600","3196029.677100"
"5000","World","6646","Forest land","5110","Area","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4231591.372400","4228595.032400","4220756.642400","4212918.252300","4205079.862300","4197241.472300","4189403.082300","4181564.692300","4173726.302200","4165887.912200","4158049.522200","4152876.264400","4147703.006600","4142529.748800","4137356.490900","4132183.233100","4127009.975300","4121836.717500","4116663.459700","4111490.201900","4106316.944000","4101827.050400","4097337.156800","4092847.263200","4088357.369600","4083867.475900","4080603.542200","4073757.184500","4068923.274200","4063843.080000"
"5000","World","6646","Forest land","72151","Carbon stock in living biomass","million tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"297168.489400","297173.729600","296948.829500","296723.929400","296499.029300","296274.129200","296049.229100","295824.329000","295599.428900","295374.528800","295149.628700","295000.138400","294850.648000","294701.157600","294551.667200","294402.176900","294252.686500","294103.196100","293953.705700","293804.215400","293654.725000","293834.714000","294014.702900","294194.691900","294374.680800","294554.669800","294750.789700","294474.126200","294450.412300","294295.916600"
