Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2010","2010","1000 ha","2979768.5293","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2011","2011","1000 ha","2979794.4247","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2012","2012","1000 ha","2990330.4802","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2013","2013","1000 ha","2990330.7186","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2014","2014","1000 ha","2990322.9103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2015","2015","1000 ha","2990323.2964","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2016","2016","1000 ha","2990312.8845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2017","2017","1000 ha","2990312.0887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2018","2018","1000 ha","2990310.7912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","2019","2019","1000 ha","2990310.7912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1138134.805","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1141480.488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1109281.4615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1113335.87","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1114665.0725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1115806.2271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1118122.765","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1119215.5828","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1119923.6475","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1118601.2748","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2010","2010","1000 ha","676015.37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2011","2011","1000 ha","672108.76","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2012","2012","1000 ha","668202.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2013","2013","1000 ha","664295.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2014","2014","1000 ha","660388.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2015","2015","1000 ha","656482.32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2016","2016","1000 ha","652481.3843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2017","2017","1000 ha","648548.99","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2018","2018","1000 ha","644618.828","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2019","2019","1000 ha","640608.55","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6601","Land area","2010","2010","1000 ha","3866367.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6601","Land area","2011","2011","1000 ha","3866409.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
