Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2010","2010","1000 ha","1138134.805","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2011","2011","1000 ha","1141480.488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2012","2012","1000 ha","1109281.4615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2013","2013","1000 ha","1113335.87","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2014","2014","1000 ha","1114665.0725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2015","2015","1000 ha","1115806.2271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2016","2016","1000 ha","1118210.665","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2017","2017","1000 ha","1119303.4828","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2018","2018","1000 ha","1120011.5475","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","2019","2019","1000 ha","1118689.1748","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1138134.805","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1141480.488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1109281.4615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1113335.87","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1114665.0725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1115806.2271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1118122.765","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1119215.5828","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1119923.6475","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1118601.2748","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2010","2010","1000 ha","257910.125","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2011","2011","1000 ha","262008.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2012","2012","1000 ha","273437.9275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2013","2013","1000 ha","275139.305","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2014","2014","1000 ha","275458.6625","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2015","2015","1000 ha","275523.7371","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2016","2016","1000 ha","277006.8129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6620","Cropland","2017","2017","1000 ha","277279.6781","A","Aggregate, may include official, semi-official, estimated or calculated data"
