Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RL,Land Use,001,World,5110,Area,6601,Land area,1961,1961,1000 ha,13041023.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1962,1962,1000 ha,13041021.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1963,1963,1000 ha,13041022.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1964,1964,1000 ha,13041022.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1965,1965,1000 ha,13041021.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1966,1966,1000 ha,13041020.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1967,1967,1000 ha,13041019.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1968,1968,1000 ha,13041018.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1969,1969,1000 ha,13041018.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1970,1970,1000 ha,13041017.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1971,1971,1000 ha,13041016.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1972,1972,1000 ha,13041005.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1973,1973,1000 ha,13040996.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1974,1974,1000 ha,13040948.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1975,1975,1000 ha,13040895.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1976,1976,1000 ha,13040872.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1977,1977,1000 ha,13040858.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1978,1978,1000 ha,13040856.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1979,1979,1000 ha,13040851.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1980,1980,1000 ha,13040831.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1981,1981,1000 ha,13040838.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1982,1982,1000 ha,13040818.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1983,1983,1000 ha,13040810.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1984,1984,1000 ha,13040657.23,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1985,1985,1000 ha,13040645.24,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1986,1986,1000 ha,13040654.25,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1987,1987,1000 ha,13040643.25,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1988,1988,1000 ha,13040641.26,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1989,1989,1000 ha,13040542.27,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1990,1990,1000 ha,13040541.28,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1991,1991,1000 ha,13040551.29,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1992,1992,1000 ha,12996254.49,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1993,1993,1000 ha,12995879.9,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1994,1994,1000 ha,12994675.21,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1995,1995,1000 ha,12994379.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1996,1996,1000 ha,12994333.7,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1997,1997,1000 ha,13001267.68,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1998,1998,1000 ha,12998664.45,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1999,1999,1000 ha,12999343.23,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2000,2000,1000 ha,13005250.76,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2001,2001,1000 ha,13005132.75,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2002,2002,1000 ha,13004914.05,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2003,2003,1000 ha,13005627.69,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2004,2004,1000 ha,13020282.84,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2005,2005,1000 ha,13020557.07,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2006,2006,1000 ha,13020335.88,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2007,2007,1000 ha,13020314.12,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2008,2008,1000 ha,13018728.07,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2009,2009,1000 ha,13018572.17,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2010,2010,1000 ha,13018809.89,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2011,2011,1000 ha,13018858.08,B,Time series break,
